Region,Local Authority (LA),LA No.,Institution Name,Category,UKPRN,UPIN,Total Students,High Needs Students (included in Total Students),Total Programme Funding (£),Disadvantage Funding (£) (included in Total Programme Funding),Total No. students not meeting the Condition of Funding (2017/18 data),Actual Condition of Funding adjustment in 2019/20 (£) (after mitigation),High Needs Element 2 Funding (£),Total Student Financial Support Funding (£),Discretionary Bursary Funding (£) (included in Total Student Financial Support Funding),Free Meals Funding (£) (included in Total Student Financial Support Funding),Industry Placements: Capacity and Delivery Funding (£),Advanced Maths Premium Funding (£),Alternative Completions Funding (£),Total Funding Allocation (£)
WM,Staffordshire,860,The Friary School,Academy,10083618,141094,138,0,"556,800","7,361",1,0,0,"9,051","9,051",0,0,0,0,"565,851"
GL,Hammersmith and Fulham,205,The Fulham Boys School,Free School,10047202,123304,67,0,"346,138","21,606",0,0,0,"7,188","7,188",0,0,0,0,"353,326"
EM,Nottinghamshire,891,The Garibaldi School,Academy,10065361,139302,41,0,"165,940","7,085",0,0,0,"4,383","4,383",0,0,0,0,"170,323"
EM,Lincolnshire,925,The Garth School,Academy Special,10055669,133111,15,15,0,0,0,0,"150,000","1,609","1,609",0,0,0,0,"151,609"
EM,Lincolnshire,925,The Giles Academy,Academy,10031381,119247,99,0,"465,265","46,492",0,0,0,"13,521","13,521",0,0,0,0,"478,786"
GL,Hillingdon,312,The Global Academy,University Technical College,10057007,132760,149,0,"693,494","52,392",7,0,0,"15,985","15,985",0,0,0,0,"709,479"
SE,Buckinghamshire,825,The Grange School,School Sixth Form,10006672,113826,144,0,"633,740","21,613",0,0,0,"10,144","10,144",0,0,0,0,"643,885"
SW,"Bournemouth, Christchurch and Poole",839,The Grange School,Academy,10047507,130912,39,0,"172,440","24,165",0,0,0,"5,440","5,440",0,0,0,0,"177,880"
EM,Lincolnshire,925,The Grantham Sandon School,Academy Special,10047152,130625,23,23,0,0,0,0,"230,000","2,467","2,467",0,0,0,0,"232,467"
GL,Hounslow,313,The Green School for Girls,Academy,10042618,124560,105,0,"478,623","11,462",0,0,0,"9,791","9,791",0,0,0,0,"488,413"
GL,Westminster,213,The Grey Coat Hospital,Academy,10037625,122178,262,1,"1,312,489","55,660",0,0,"6,000","32,042","32,042",0,0,0,0,"1,350,531"
GL,Haringey,309,The Grove,Free School Special,10068111,140980,13,13,0,0,0,0,"130,000","1,395","1,395",0,0,0,0,"131,395"
WM,Shropshire,893,The Grove School,Academy,10081958,141557,77,6,"322,260","21,085",0,0,"36,000","10,385","10,385",0,0,0,0,"368,646"
NW,Manchester,352,The Growth Company Limited,Independent Learning Provider,10004177,109219,"1,684",0,"5,577,148","1,273,394",36,0,0,"587,351","487,352","99,999","56,000",0,0,"6,220,498"
SW,Dorset,838,The Gryphon School,Academy,10038102,122602,371,0,"1,553,749","89,772",1,0,0,"24,301","24,301",0,0,"13,200",0,"1,591,250"
