Region,Local Authority (LA),LA No.,Institution Name,Category,UKPRN,UPIN,Total Students,High Needs Students (included in Total Students),Total Programme Funding (£),Disadvantage Funding (£) (included in Total Programme Funding),Total No. students not meeting the Condition of Funding (2017/18 data),Actual Condition of Funding adjustment in 2019/20 (£) (after mitigation),High Needs Element 2 Funding (£),Total Student Financial Support Funding (£),Discretionary Bursary Funding (£) (included in Total Student Financial Support Funding),Free Meals Funding (£) (included in Total Student Financial Support Funding),Industry Placements: Capacity and Delivery Funding (£),Advanced Maths Premium Funding (£),Alternative Completions Funding (£),Total Funding Allocation (£)
SE,Milton Keynes,826,Ousedale School,Academy,10034805,120052,373,0,"1,603,857","18,531",0,0,0,"20,263","20,263",0,0,0,0,"1,624,120"
YH,Doncaster,371,Outwood Academy Adwick,Academy,10027986,119090,100,2,"421,397","31,179",0,0,"12,000","14,602","14,602",0,0,0,0,"447,999"
YH,Doncaster,371,Outwood Academy Danum,Academy,10062380,138264,88,4,"412,041","39,280",0,0,"24,000","9,110","9,110",0,0,0,0,"445,151"
YH,North Yorkshire,815,Outwood Academy Easingwold,Academy,10065372,139532,82,0,"332,148","6,000",0,0,0,"4,159","4,159",0,0,0,0,"336,307"
YH,Wakefield,384,Outwood Academy Hemsworth,Academy,10067323,140780,142,0,"656,269","104,920",5,0,0,"17,672","17,672",0,"10,500",0,0,"684,442"
EM,Derbyshire,830,Outwood Academy Newbold,Academy,10047506,130888,101,0,"429,994","25,239",1,0,0,"9,171","9,171",0,0,0,0,"439,165"
EM,Nottinghamshire,891,Outwood Academy Portland,Academy,10037659,120143,205,0,"857,775","48,777",0,0,0,"21,992","21,992",0,0,0,0,"879,768"
EM,Nottinghamshire,891,Outwood Academy Valley,Academy,10037660,120144,198,0,"811,138","21,415",0,0,0,"33,172","33,172",0,0,"3,000",0,"847,310"
YH,Wakefield,384,Outwood Grange Academy,Academy,10028145,119076,275,0,"1,108,509","20,591",1,0,0,"24,356","24,356",0,0,"21,600",0,"1,154,465"
GL,Sutton,319,Overton Grange School,Academy,10033779,119779,172,0,"735,345","13,483",1,0,0,"9,493","9,493",0,0,0,0,"744,838"
SE,Oxfordshire,931,Oxford Brookes University,Higher Education Provider,10004930,108254,84,0,"380,964","6,000",1,0,0,"2,721","2,721",0,0,0,0,"383,685"
SE,Oxfordshire,931,Oxford Spires Academy,Academy,10032598,119438,186,0,"847,862","68,134",10,"-2,283",0,"20,021","20,021",0,0,0,0,"865,600"
SE,Surrey,936,Oxted School,Academy,10053918,132299,256,3,"1,139,283","10,680",3,0,"18,000","14,945","14,945",0,0,0,0,"1,172,228"
YH,Sheffield,373,Paces High Green School for Conductive Education,Non-Maintained Special School,10027310,122210,3,3,0,0,0,0,"30,000",500,500,0,0,0,0,"30,500"
GL,Westminster,213,Paddington Academy,Academy,10016903,118638,309,3,"1,667,365","173,295",4,0,"18,000","73,472","73,472",0,0,"4,800",0,"1,763,638"
WM,Staffordshire,860,"Paget High School, Business and Enterprise College",School Sixth Form,10004961,114562,166,0,"744,864","103,649",2,0,0,"30,858","30,858",0,0,"3,000",0,"778,722"
WM,Staffordshire,860,Painsley Catholic College,Academy,10038662,122686,240,1,"953,541","17,951",0,0,"6,000","13,861","13,861",0,0,"7,800",0,"981,201"
GL,Hillingdon,312,Park Academy West London,Academy,10065192,139867,101,4,"492,816","44,550",3,0,"24,000","13,445","13,445",0,0,0,0,"530,261"
NW,Blackpool,890,Park Community Academy,Academy Special,10043075,124119,34,34,0,0,0,0,"340,000","3,648","3,648",0,0,0,0,"343,648"
WM,Solihull,334,Park Hall Academy,Academy,10027835,118922,176,0,"814,057","78,138",0,0,0,"18,787","18,787",0,0,"2,400",0,"835,244"
GL,Harrow,310,Park High School,Academy,10034840,120075,190,0,"849,645","6,000",2,0,0,"17,705","17,705",0,0,"16,200",0,"883,550"
SE,West Berkshire,869,Park House School,Academy,10033592,119729,212,2,"950,380","26,938",0,0,"12,000","7,594","7,594",0,0,0,0,"969,974"
NE,Durham,840,Park View School,Academy,10034795,119971,309,0,"1,256,184","46,755",0,0,0,"17,265","17,265",0,0,0,0,"1,273,449"
EE,Cambridgeshire,873,Parkside Community College,Academy,10033429,119655,108,2,"466,229","20,877",0,0,"12,000","11,586","11,586",0,0,0,0,"489,816"
YH,Bradford,380,Parkside School,School Sixth Form,10004989,116202,96,0,"384,154","6,000",0,0,0,"8,173","8,173",0,0,"11,400",0,"403,728"
GL,Hillingdon,312,Parkside Studio College,Studio School,10038736,122531,5,0,"28,266","6,000",2,"-1,970",0,536,536,0,0,0,0,"26,832"
SW,"Bournemouth, Christchurch and Poole",839,Parkstone Grammar School,Academy,10032337,119399,302,0,"1,202,327","6,000",0,0,0,"19,673","19,673",0,0,0,0,"1,222,000"
GL,Kensington and Chelsea,207,Parkwood Hall Co-operative Academy,Academy Special,10049594,131971,26,26,0,0,0,0,"260,000","2,789","2,789",0,0,0,0,"262,789"
GL,Camden,202,Parliament Hill School,School Sixth Form,10004992,114121,273,0,"1,375,695","133,648",7,0,0,"36,479","36,479",0,0,"11,400",0,"1,423,574"
EE,Hertfordshire,919,Parmiter's School,Academy,10034176,119869,412,0,"1,819,608","6,000",0,0,0,"17,213","17,213",0,0,"31,200",0,"1,868,021"
NW,Manchester,352,Parrs Wood High School,Academy,10057634,134176,401,0,"1,722,213","125,024",0,0,0,"58,411","58,411",0,0,"11,400",0,"1,792,023"
SW,South Gloucestershire,803,Patchway Community School,Academy,10065195,139870,76,0,"307,094","13,368",0,0,0,"6,271","6,271",0,0,0,0,"313,365"
SW,Gloucestershire,916,Pate's Grammar School,Academy,10032220,119380,405,0,"1,661,742","12,306",0,0,0,"14,036","14,036",0,0,600,0,"1,676,378"
WM,Staffordshire,860,Paulet High School,School Sixth Form,10005010,114564,138,0,"603,259","38,227",1,0,0,"16,902","16,902",0,0,0,0,"620,161"
EM,Derbyshire,830,Peak School,Academy Special,10068331,141292,9,9,0,0,0,0,"90,000",966,966,0,0,0,0,"90,966"
WM,Wales,WALES,Pengwern College,Special Post-16 Institution,10012806,114839,1,1,"10,144","6,000",0,0,"6,000",500,500,0,0,0,0,"16,644"
YH,Barnsley,370,Penistone Grammar School,School Sixth Form,10005034,113572,214,0,"847,223","7,361",0,0,0,"14,202","14,202",0,0,0,0,"861,425"
YH,Wakefield,384,Pennine Camphill Community,Special Post-16 Institution,10005036,114870,47,47,"247,305","52,522",0,0,"282,000","5,042","5,042",0,0,0,0,"534,347"
NE,Newcastle upon Tyne,391,Percy Hedley College,Special Post-16 Institution,10048022,133414,49,49,"257,829","54,757",1,0,"294,000","13,299","5,257","8,042",0,0,0,"565,128"
NE,North Tyneside,392,Percy Hedley School,Non-Maintained Special School,10018021,123721,47,47,0,0,0,0,"470,000","5,075","5,075",0,0,0,0,"475,075"
WM,Worcestershire,885,Pershore High School,Academy,10034169,119905,143,0,"574,426","6,000",0,0,0,"8,587","8,587",0,0,0,0,"583,013"
SE,Hampshire,850,Peter Symonds College,Sixth Form College,10005072,108405,"3,963",12,"16,163,358","135,907",8,0,"72,000","171,214","147,567","23,647",0,0,0,"16,406,572"
EE,Peterborough,874,Peterborough City Council,Local Authority,10005074,112456,245,85,"998,893","260,658",0,0,"510,000","57,289","35,874","21,415",0,0,0,"1,566,182"
EE,Peterborough,874,Peterborough Regional College,General FE and Tertiary,10005077,106409,"2,780",145,"13,288,994","2,327,716",89,0,"870,000","498,906","337,017","161,889","297,250","13,800",0,"14,968,950"
NW,Sefton,343,Peterhouse School,Non-Maintained Special School,10017150,122187,16,16,0,0,0,0,"160,000","1,724","1,724",0,0,0,0,"161,724"
SW,Devon,878,Petroc,General FE and Tertiary,10004676,106509,"2,685",147,"10,697,738","1,121,858",58,0,"882,000","401,860","342,236","59,624","172,500",0,0,"12,154,097"
EE,Essex,881,Philip Morant School and College,Academy,10082305,151671,103,0,"415,250","11,529",0,0,0,"9,085","9,085",0,0,0,0,"424,335"
SW,Devon,878,Phoenix Learning and Care Limited,Special Post-16 Institution,10004841,114869,55,53,"293,720","65,782",0,0,"318,000","5,900","5,900",0,0,0,0,"617,620"
GL,Hillingdon,312,Pield Heath House RC School,Non-Maintained Special School,10017187,122199,25,25,0,0,0,0,"250,000","2,710","2,710",0,0,0,0,"252,710"
GL,Westminster,213,Pimlico Academy,Academy,10024202,118663,150,1,"762,694","38,783",0,0,"6,000","28,925","28,925",0,0,0,0,"797,620"
NW,Manchester,352,Pioneer House High School,Free School Special,10056999,134407,26,26,0,0,0,0,"260,000","2,789","2,789",0,0,0,0,"262,789"
NW,Manchester,352,Piper Hill High School,Academy Special,10048918,131084,39,39,0,0,0,0,"390,000","4,184","4,184",0,0,0,0,"394,184"
WM,Birmingham,330,Plantsbrook School,Academy,10034768,120053,242,2,"987,162","25,557",0,0,"12,000","14,863","14,863",0,0,600,0,"1,014,625"
EE,Essex,881,Plume School,Academy,10035963,120904,230,0,"978,803","36,466",1,0,0,"17,944","17,944",0,0,0,0,"996,747"
SE,East Sussex,845,Plumpton College,Agricultural & Horticultural College,10005124,107525,"1,074",45,"6,489,622","582,442",42,0,"270,000","404,173","122,218","37,934","179,500",0,0,"7,343,294"
GL,Greenwich,203,Plumstead Manor / Negus School,School Sixth Form,10005125,113126,242,0,"1,238,325","78,488",3,0,0,"26,589","26,589",0,0,0,0,"1,264,914"
SW,Plymouth,879,Plymouth City Council,Local Authority,10005126,114820,38,5,"157,045","37,028",5,"-3,909","30,000","4,544","3,764",780,"5,000",0,0,"192,680"
SW,Plymouth,879,Plymouth College of Art,Higher Education Provider,10005127,106513,434,16,"2,042,206","124,080",2,0,"96,000","117,585","53,965","15,912",0,0,0,"2,255,791"
SW,Plymouth,879,Plymouth High School for Girls,School Sixth Form,10005129,114782,190,0,"776,663","22,642",0,0,0,"17,728","17,728",0,0,0,0,"794,390"
SW,Plymouth,879,Plympton Academy,Academy,10033277,119599,116,2,"507,293","16,260",1,0,"12,000","12,991","12,991",0,0,"1,200",0,"533,483"
SW,Plymouth,879,Plymstock School,Academy,10033269,119569,186,4,"741,236","10,218",2,0,"24,000","14,844","14,844",0,0,0,0,"780,079"
NE,Darlington,841,Polam Hall School,Free School,10053816,132654,13,0,"58,000","6,000",0,0,0,"1,395","1,395",0,0,0,0,"59,395"
SE,Surrey,936,Pond Meadow School,Academy Special,10047894,121025,9,9,0,0,0,0,"90,000",966,966,0,0,0,0,"90,966"
NE,Northumberland,929,Ponteland High School,Academy,10082374,140717,265,1,"1,078,049","17,828",0,0,"6,000","16,465","16,465",0,0,0,0,"1,100,515"
WM,Walsall,335,Pool Hayes Academy,Academy,10055379,131346,126,0,"564,815","56,272",1,0,0,"15,736","15,736",0,0,0,0,"580,552"
SW,"Bournemouth, Christchurch and Poole",839,Poole Grammar School,Academy,10034113,119850,288,2,"1,152,396","6,000",0,0,"12,000","20,229","20,229",0,0,"10,200",0,"1,194,824"
SW,"Bournemouth, Christchurch and Poole",839,Poole High School,School Sixth Form,10005145,114634,324,0,"1,350,175","67,679",28,"-24,695",0,"37,095","37,095",0,0,"1,800",0,"1,364,375"
SW,"Bournemouth, Christchurch and Poole",839,Portfield School,Non-Maintained Special School,10017071,122234,11,11,0,0,0,0,"110,000","1,166","1,166",0,0,0,0,"111,166"
NE,Sunderland,394,Portland Academy,Academy Special,10038144,122328,54,54,0,0,0,0,"540,000","5,793","5,793",0,0,0,0,"545,793"
EM,Nottinghamshire,891,Portland College,Special Post-16 Institution,10005151,114871,184,184,"968,173","205,617",1,0,"1,104,000","46,138","16,306","29,832",0,0,0,"2,118,311"
SE,Brighton and Hove,846,Portslade Aldridge Community Academy,Academy,10034944,119937,40,0,"163,246","18,383",2,0,0,"5,918","5,918",0,0,0,0,"169,164"
SE,Portsmouth,851,Portsmouth College,Sixth Form College,10005158,108402,"1,453",30,"6,201,229","574,826",17,0,"180,000","229,110","175,666","53,444","51,750","50,400",0,"6,712,488"
EE,Norfolk,926,Poultec Training Ltd,Independent Learning Provider,10005172,106953,67,0,"230,369","14,267",28,"-39,890",0,"8,621","6,876","1,745","5,000",0,0,"204,100"
NW,Cheshire East,895,Poynton High School,Academy,10081156,134761,297,4,"1,208,075","15,320",1,0,"24,000","15,851","15,851",0,0,0,0,"1,247,926"
GL,Lewisham,209,Prendergast-Hilly Fields College,School Sixth Form,10005193,114763,326,0,"1,642,030","91,703",0,0,0,"35,245","35,245",0,0,"16,200",0,"1,693,475"
GL,Islington,206,Pre-School Learning Alliance,Independent Learning Provider,10000239,108012,12,0,"18,452","6,000",0,0,0,"1,287","1,287",0,0,0,0,"19,739"
EE,Hertfordshire,919,Presdales School,Academy,10036931,121129,254,0,"1,108,680","6,000",0,0,0,"11,641","11,641",0,0,0,0,"1,120,322"
WM,Coventry,331,President Kennedy School Academy,Academy,10043454,124494,198,2,"838,465","69,963",3,0,"12,000","26,847","26,847",0,0,"7,800",0,"885,112"
NW,Lancashire,888,Preston College,General FE and Tertiary,10005200,108623,"1,660",94,"6,715,635","1,119,286",107,"-8,649","564,000","314,844","228,230","86,614","138,500","1,200",0,"7,725,529"
GL,Brent,304,Preston Manor School,Academy,10040291,123910,277,6,"1,300,113","52,449",0,0,"36,000","37,946","37,946",0,0,"2,400",0,"1,376,459"
NW,Warrington,877,Priestley College,Academy,10063846,139008,"1,959",31,"8,457,957","660,685",12,0,"186,000","207,172","141,294","65,878","136,250",0,0,"8,987,379"
WM,Worcestershire,885,Prince Henry's High School,Academy,10032987,119469,336,0,"1,357,675","8,288",1,0,0,"28,406","28,406",0,0,0,0,"1,386,081"
EM,Northamptonshire,928,Prince William School,Academy,10049646,132382,144,0,"562,592","6,767",7,0,0,"6,583","6,583",0,0,"9,600",0,"578,775"
SE,Buckinghamshire,825,Princes Risborough School,Academy,10081065,141387,106,8,"444,217","6,596",0,0,"48,000","7,828","7,828",0,0,0,0,"500,045"
NE,Redcar and Cleveland,807,Prior Pursglove and Stockton Sixth Form College,Academy,10065941,139369,"1,767",57,"7,189,923","487,530",39,0,"342,000","212,578","147,515","65,063","20,750",0,0,"7,765,251"
SW,Swindon,866,"Priory College, Swindon",Special Post-16 Institution,10007929,117235,35,35,"184,963","39,112",1,0,"210,000","3,755","3,755",0,0,600,0,"399,318"
EE,Suffolk,935,Priory School,Academy Special,10035159,120334,17,17,0,0,0,0,"170,000","1,824","1,824",0,0,0,0,"171,824"
WM,Stoke-on-Trent,861,Project Management (Staffordshire) Limited,Independent Learning Provider,10005250,107043,495,9,"1,996,531","408,377",0,0,"54,000","89,879","63,245","26,634",0,0,0,"2,140,410"
SE,Reading,870,Prospect School,Academy,10034135,119876,122,0,"565,250","21,152",8,0,0,"19,014","19,014",0,0,0,0,"584,265"
SW,Gloucestershire,916,Prospect Training Services (Gloucester) Limited,Independent Learning Provider,10005261,105509,198,3,"645,977","158,536",11,"-4,358","18,000","83,420","53,495","29,925","2,500",0,0,"745,538"
NE,Northumberland,929,Prudhoe Community High School,Academy,10084175,151822,222,3,"910,366","17,168",26,"-31,758","18,000","17,095","17,095",0,0,0,0,"913,702"
YH,Leeds,383,Pudsey Grangefield School,School Sixth Form,10005283,114657,179,0,"725,724","52,834",2,0,0,"21,139","21,139",0,0,0,0,"746,864"
WM,Sandwell,333,Q3 Academy Great Barr,Academy,10024117,118641,112,0,"461,705","14,752",0,0,0,"10,630","10,630",0,0,"4,800",0,"477,135"
WM,Sandwell,333,Q3 Academy Tipton,Academy,10081429,141393,106,0,"492,453","81,666",0,0,0,"18,100","18,100",0,0,0,0,"510,553"
EM,Nottinghamshire,891,Quarrydale Academy,Academy,10036418,120944,112,0,"485,084","41,624",1,0,0,"17,719","17,719",0,0,0,0,"502,804"
WM,Birmingham,330,Queen Alexandra College,Special Post-16 Institution,10005320,114872,276,276,"1,455,140","311,306",6,0,"1,656,000","103,964","26,997","76,967",0,0,0,"3,215,105"
EM,Nottinghamshire,891,Queen Elizabeth Academy,Academy,10063172,138508,15,0,"60,610","7,523",0,0,0,"2,585","2,585",0,0,0,0,"63,195"
NW,Cumbria,909,Queen Elizabeth Grammar School Penrith,Academy,10033591,119730,222,1,"884,427","6,000",0,0,"6,000","15,752","15,752",0,0,"1,800",0,"907,979"
NE,Northumberland,929,Queen Elizabeth High School,Academy,10057640,133910,384,3,"1,481,871","6,819",7,0,"18,000","24,168","24,168",0,0,0,0,"1,524,039"
NW,Cumbria,909,Queen Elizabeth School,Academy,10032222,119387,211,4,"840,836","6,000",0,0,"24,000","11,482","11,482",0,0,0,0,"876,317"
NE,Darlington,841,Queen Elizabeth Sixth Form College,Sixth Form College,10005325,108400,"2,026",4,"8,123,254","288,433",0,0,"24,000","184,147","161,318","22,829",0,0,0,"8,331,402"
NW,Cumbria,909,Queen Elizabeth Studio School,Studio School,10064717,139850,80,0,"327,252","12,914",5,"-7,415",0,"8,582","8,582",0,0,0,0,"328,420"
SW,Devon,878,Queen Elizabeth's,Academy,10033364,119673,156,1,"616,889","7,024",0,0,"6,000","15,039","15,039",0,0,0,0,"637,928"
GL,Barnet,302,Queen Elizabeth's Girls' School,Academy,10034587,120131,143,0,"648,394","12,253",1,0,0,"13,176","13,176",0,0,0,0,"661,570"
EM,Lincolnshire,925,Queen Elizabeth's Grammar Alford - A Selective Academy,Academy,10031577,119304,137,0,"581,454","39,644",0,0,0,"18,588","18,588",0,0,0,0,"600,042"
EM,Derbyshire,830,Queen Elizabeth's Grammar School,Academy,10034784,119972,255,0,"1,033,393","11,250",0,0,0,"11,726","11,726",0,"2,500",0,0,"1,047,619"
SE,Kent,886,Queen Elizabeth's Grammar School,Academy,10033266,119566,224,0,"879,976","8,218",2,0,0,"13,350","13,350",0,0,"6,600",0,"899,927"
NW,Blackburn with Darwen,889,Queen Elizabeth's Grammar School,Free School,10046858,130538,125,0,"533,044","45,651",13,"-13,583",0,"13,410","13,410",0,0,0,0,"532,871"
EM,Lincolnshire,925,"Queen Elizabeth's Grammar School, Horncastle",Academy,10038619,122791,207,0,"831,414","6,000",0,0,0,"15,533","15,533",0,0,0,0,"846,947"
SW,Dorset,838,Queen Elizabeth's School,Academy,10047873,124604,387,0,"1,559,199","19,520",0,0,0,"32,545","32,545",0,0,"5,400",0,"1,597,144"
GL,Barnet,302,"Queen Elizabeth's School, Barnet",Academy,10031349,119272,311,0,"1,446,153","8,708",0,0,0,"17,340","17,340",0,0,"16,800",0,"1,480,293"
EE,Peterborough,874,Queen Katharine Academy,Academy,10064870,139844,277,0,"1,322,317","216,624",3,0,0,"45,863","45,863",0,0,0,0,"1,368,180"
SE,Hampshire,850,Queen Mary's College,Academy,10065473,139904,"1,903",62,"7,879,769","342,738",5,0,"372,000","130,742","107,655","23,087","75,750",0,0,"8,458,260"
WM,Walsall,335,Queen Mary's Grammar School,Academy,10033780,119780,402,0,"1,699,279","83,665",0,0,0,"31,854","31,854",0,0,"30,600",0,"1,761,733"
WM,Walsall,335,Queen Mary's High School,Academy,10033781,119781,138,0,"581,549","32,676",0,0,0,"12,444","12,444",0,0,0,0,"593,993"
WM,Staffordshire,860,Queen's Croft High School,Academy Special,10083617,141266,66,66,0,0,0,0,"660,000","3,791","3,791",0,0,0,0,"663,791"
GL,Brent,304,Queens Park Community School,Academy,10038593,122740,243,4,"1,204,194","117,424",0,0,"24,000","35,425","35,425",0,0,0,0,"1,263,619"
NW,Cheshire West and Chester,896,Queen's Park High School,Academy,10062004,124757,97,0,"410,952","30,789",0,0,0,"8,608","8,608",0,0,"1,200",0,"420,760"
EE,Hertfordshire,919,Queens' School,Academy,10034136,119877,341,0,"1,489,463","13,887",3,0,0,"21,421","21,421",0,0,0,0,"1,510,884"
EE,Central Bedfordshire,823,Queensbury Academy,Academy,10038471,121863,83,0,"324,024","6,000",0,0,0,"4,934","4,934",0,0,0,0,"328,958"
GL,Hillingdon,312,Queensmead School,Academy,10033570,119731,231,0,"1,074,488","18,133",0,0,0,"23,728","23,728",0,0,0,0,"1,098,216"
GL,Hammersmith and Fulham,205,Queensmill College,Special Post-16 Institution,10083841,162325,18,18,"113,655","20,115",0,0,"108,000","2,988","1,931","1,057",0,0,0,"224,643"
WM,Warwickshire,937,Quest Academy,Free School Special,10064846,139606,10,10,0,0,0,0,"100,000","1,073","1,073",0,0,0,0,"101,073"
GL,Tower Hamlets,211,Raine's Foundation School,School Sixth Form,10005371,114764,137,0,"733,158","87,237",3,0,0,"23,136","23,136",0,0,0,0,"756,294"
NW,St. Helens,342,Rainford High Technology College,Academy,10062645,134420,196,0,"815,546","31,807",0,0,0,"11,296","11,296",0,0,0,0,"826,842"
SE,Medway,887,Rainham Mark Grammar School,Academy,10034121,119864,310,0,"1,230,356","15,576",0,0,0,"18,799","18,799",0,0,0,0,"1,249,155"
SE,Medway,887,Rainham School for Girls,Academy,10032961,119462,275,0,"1,212,196","45,231",0,0,0,"30,502","30,502",0,0,"7,800",0,"1,250,498"
NW,St. Helens,342,Rainhill High School,Academy,10062850,134760,300,4,"1,279,681","107,995",1,0,"24,000","27,687","27,687",0,0,0,0,"1,331,368"
SW,Bath and North East Somerset,800,Ralph Allen School,Academy,10037881,122732,186,0,"745,970","6,000",2,0,0,"9,062","9,062",0,0,0,0,"755,033"
YH,Leeds,383,Ralph Thoresby School,School Sixth Form,10005377,114659,145,0,"609,437","51,489",1,0,0,"14,251","14,251",0,0,0,0,"623,688"
SE,Bracknell Forest,867,Ranelagh School,Academy,10034787,120267,155,0,"694,134","6,000",0,0,0,"3,589","3,589",0,0,0,0,"697,723"
NW,Sefton,343,Range High School,Academy,10035481,120526,147,0,"585,068","6,000",0,0,0,"5,944","5,944",0,0,0,0,"591,012"
GL,Bromley,305,Ravens Wood School,Academy,10033206,119606,433,2,"1,935,237","42,661",31,"-20,745","12,000","19,897","19,897",0,0,0,0,"1,946,389"
GL,Greenwich,203,Ravensbourne,Higher Education Provider,10005389,108270,299,0,"1,430,279","41,437",0,0,0,"37,623","27,451","10,172",0,0,0,"1,467,901"
GL,Havering,311,Ravensbourne School,Academy Special,10056097,133555,18,18,0,0,0,0,"180,000","1,931","1,931",0,0,0,0,"181,931"
EM,Leicestershire,855,Rawlins Academy,Academy,10035377,114120,368,2,"1,455,782","31,158",1,0,"12,000","29,664","29,664",0,0,0,0,"1,497,446"
GL,Merton,315,Raynes Park School,School Sixth Form,10017511,119746,149,0,"694,756","31,849",38,"-59,483",0,"15,985","15,985",0,0,0,0,"651,258"
GL,Hounslow,313,Reach Academy Feltham,Free School,10037673,122007,70,0,"318,651","9,027",0,0,0,"7,510","7,510",0,0,0,0,"326,161"
SE,Reading,870,Reading Borough Council,Local Authority,10005398,106334,31,0,"133,884","25,052",8,"-9,349",0,"3,326","3,326",0,0,0,0,"127,861"
SE,Reading,870,Reading School,Academy,10032956,119465,331,0,"1,562,486","6,000",0,0,0,"6,461","6,461",0,0,"9,000",0,"1,577,946"
NW,Cheshire East,895,Reaseheath College,Agricultural & Horticultural College,10005404,105301,"1,934",93,"11,806,208","967,832",62,0,"558,000","533,987","219,951","42,067","367,750","23,400",0,"13,289,344"
EE,Central Bedfordshire,823,Redborne Upper School and Community College,Academy,10033274,119574,463,0,"1,950,637","10,407",0,0,0,"18,502","18,502",0,0,0,0,"1,969,140"
GL,Redbridge,317,Redbridge London Borough Council,Local Authority,10005412,108009,6,0,"13,119","6,000",1,-934,0,654,654,0,0,0,0,"12,839"
EM,Nottinghamshire,891,Redhill Academy,Academy,10032224,119386,260,0,"1,055,929","31,006",0,0,0,"29,148","29,148",0,0,"25,800",0,"1,110,877"
SW,Bristol City of,801,Redland Green School,Academy,10039057,122427,398,0,"1,634,736","30,334",0,0,0,"33,328","33,328",0,0,0,0,"1,668,064"
SW,Gloucestershire,916,Rednock School,School Sixth Form,10005419,114741,164,0,"670,071","21,494",0,0,0,"9,584","9,584",0,"2,500",0,0,"682,156"
EE,Norfolk,926,Reepham High School and College,Academy,10039052,122382,216,0,"864,063","6,000",0,0,0,"15,635","15,635",0,0,0,0,"879,698"
WM,Worcestershire,885,Regency High School,Academy Special,10043459,125024,33,33,0,0,0,0,"330,000","3,540","3,540",0,0,0,0,"333,540"
WM,Stoke-on-Trent,861,Regent College (Shelton Care Limited),Special Post-16 Institution,10008456,117594,28,28,"147,331","31,290",0,0,"168,000","6,159","2,360","3,799",0,0,0,"321,490"
GL,Camden,202,Regent High School,School Sixth Form,10005970,114124,132,0,"710,744","67,027",5,0,0,"33,624","33,624",0,0,0,0,"744,369"
SE,Surrey,936,Reigate College,Academy,10065148,139400,"2,454",5,"11,299,289","264,856",5,0,"30,000","160,156","160,156",0,0,0,0,"11,489,446"
EM,Nottinghamshire,891,Retford Oaks Academy,Academy,10037076,120117,51,0,"214,723","9,680",4,"-3,953",0,"12,292","12,292",0,0,600,0,"223,662"
SW,Gloucestershire,916,Ribston Hall High School,Academy,10033782,119782,226,0,"963,806","37,000",4,0,0,"17,706","17,706",0,0,0,0,"981,512"
GL,Merton,315,Ricards Lodge High School,School Sixth Form,10017432,119184,153,0,"716,687","15,603",0,0,0,"23,253","23,253",0,0,"6,600",0,"746,540"
GL,Kingston upon Thames,314,Richard Challoner School,Academy,10034773,120299,253,16,"1,193,219","71,536",1,0,"96,000","9,100","9,100",0,0,"9,600",0,"1,307,919"
EE,Hertfordshire,919,Richard Hale School,Academy,10042280,120857,268,0,"1,172,717","6,105",0,0,0,"11,604","11,604",0,0,"7,800",0,"1,192,122"
SW,Somerset,933,Richard Huish College,Sixth Form College,10005465,107537,"1,829",7,"7,133,389","138,895",3,0,"42,000","151,126","134,640","16,486","37,000",0,0,"7,363,515"
NW,Cumbria,909,Richard Rose Central Academy,Academy,10024137,118687,103,0,"431,426","38,323",1,0,0,"9,693","9,693",0,0,"15,600",0,"456,719"
SE,Southampton,852,Richard Taunton Sixth Form College,Academy,10065834,139958,956,24,"4,011,429","363,773",17,0,"144,000","139,179","100,808","38,371","32,750",0,0,"4,327,359"
GL,Richmond upon Thames,318,Richmond and Hillcroft Adult and Community College,General FE and Tertiary,10003088,108353,32,4,"82,567","17,270",5,"-1,812","24,000","2,678","2,246",432,0,0,0,"107,433"
GL,Richmond upon Thames,318,Richmond Park Academy,Academy,10030999,119310,63,0,"281,615","17,148",5,"-4,037",0,"6,759","6,759",0,0,0,0,"284,337"
YH,North Yorkshire,815,Richmond School,Academy,10065396,139402,242,0,"980,796","8,831",1,0,0,"16,334","16,334",0,0,"17,400",0,"1,014,530"
GL,Richmond upon Thames,318,Richmond Upon Thames College,General FE and Tertiary,10005469,108449,"1,568",95,"7,552,841","699,113",117,"-39,360","570,000","350,884","178,591","172,293","124,250",0,"32,500","8,591,116"
EE,Hertfordshire,919,Rickmansworth School,Academy,10033228,119620,272,0,"1,184,701","6,000",0,0,0,"10,967","10,967",0,0,"9,600",0,"1,205,267"
GL,Croydon,306,Riddlesdown Collegiate,Academy,10037408,121932,283,1,"1,250,951","13,130",4,0,"6,000","21,724","21,724",0,0,0,0,"1,278,675"
EE,Hertfordshire,919,Ridgeway Academy,Academy,10068455,141124,47,0,"216,411","6,000",0,0,0,"3,903","3,903",0,0,0,0,"220,315"
YH,Doncaster,371,Ridgewood School,Academy,10035482,120553,206,2,"842,945","11,470",0,0,"12,000","22,100","22,100",0,0,0,0,"877,045"
SE,Hampshire,850,Ringwood School Academy,Academy,10033374,119644,277,1,"1,120,327","13,115",0,0,"6,000","13,843","13,843",0,0,0,0,"1,140,170"
NW,Lancashire,888,Ripley St Thomas Church of England Academy,Academy,10033590,119732,392,1,"1,580,258","37,831",0,0,"6,000","27,545","27,545",0,0,0,0,"1,613,804"
YH,North Yorkshire,815,Ripon Grammar School,School Sixth Form,10005481,113408,294,0,"1,182,932","6,000",0,0,0,"15,358","15,358",0,0,0,0,"1,198,291"
